tweet_id, user_id
'505068625489690624','75669903'
'505068630703603712','901247168'
'505068666174832640','1202463272'
'505068674714464257','953695980'
'505068693307813888','953695980'
'505068847649792000','953695980'
'505068897771737089','2342444602'
'505068918159855616','278384774'
'505068966784401408','58774977'
'505068980584062976','23216412'
'505069029254774784','537964292'
'505069046652731393','2170378830'
'505069048280154112','2170378830'
'505069144774283264','92953029'
'505069183814868993','513584077'
'505069297983840258','953695980'
'505069322273054722','953695980'
'505069348273541120','17895820'
'505069350165172224','1897600219'
'505069425616519169','2170455122'
'505069480826130433','2561812582'
'505069536513900544','866496182'
'505069573385637888','58774977'
'505069781612257281','84434701'
'505069842144448512','953695980'
'505069842467414016','39530187'
'505069866320424960','228327357'
'505069874784509953','228327357'
'505069898411048962','953695980'
'505069905113546752','18744546'
'505069991243575296','20513956'
'505070064736161792','1325000900'
'505070083279192064','1865494322'
'505070095702700032','77092819'
'505070272433881089','28767147'
'505070289135628289','20880664'
'505070324447461376','19830342'
'505070329547735040','198926674'
'505070391899856897','480404068'
'505070446208090114','109523414'
'505070459126571008','2601835375'
'505070614651346944','13668832'
'505070669730963458','77092819'
'505070876367544320','918507020'
'505070934639005696','629662941'
'505070947930349568','837964416'
'505071076809121792','504196964'
'505071164834590720','163067499'
'505071184225243137','2377182199'
'505071310243102721','2170378830'
'505071320405925888','14584630'
'505071400516743169','1463939642'
'505071545006710784','918507020'
'505071560160710656','953695980'
'505071563599654912','202715724'
'505071569970802689','2541648254'
'505071581576851456','319853223'
'505071587302047744','62541585'
'505071618964860929','2358853914'
'505071621208416257','2541648254'
'505071629085310976','2570454500'
'505071679916109824','2570454500'
'505071688107577344','2566027610'
'505071738334347264','2566027610'
'505071747054309376','2541277160'
'505071771771740160','2243341735'
'505071796559704064','2541277160'
'505071806118522881','2568639966'
'505071860791246848','2568639966'
'505071866755555329','2570485387'
'505071906408923137','969803402'
'505071919272443904','2570485387'
'505071925689724928','2564293417'
'505071962159579136','1656697531'
'505071977850089472','2564293417'
'505071984430944256','2568466524'
'505071996678721536','481389730'
'505072003963838464','128679707'
'505072035857321984','2568466524'
'505072043134427136','2569429759'
'505072094246215680','2569429759'
'505072095001579520','49596186'
'505072102664200192','2570702498'
'505072109115428864','68104712'
'505072152358313984','2570702498'
'505072162357522432','2569772827'
'505072178799575041','93186194'
'505072210449412096','2569772827'
'505072222092804096','2567937576'
'505072235494010881','1281685105'
'505072265709355009','2202815088'
'505072268154662912','2567937576'
'505072281689653248','2569349192'
'505072326103142400','2569349192'
'505072342020542465','2566760228'
'505072359297286145','23216412'
'505072375294349312','772844534'
'505072384592719872','2566760228'
'505072402145873920','2541308431'
'505072443061325824','2541308431'
'505072461734354944','2568642534'
'505072500871413760','2568642534'
'505072522220425216','2569393226'
'505072558975102976','2569393226'
'505072582295449601','2570386951'
'505072603598696449','173387492'
'505072617049452545','2570386951'
'505072634959130624','112214751'
'505072641649033216','2563323007'
'505072654483988481','15771615'
'505072675669024770','2563323007'
'505072700889387008','2569042441'
'505072734171197440','2569042441'
'505072745286479872','17910103'
'505072750923632640','380971294'
'505072759949365248','2567617248'
'505072792392331265','2567617248'
'505072793013481472','177092753'
'505072819147788288','2564221542'
'505072833891168256','54674946'
'505072839981293569','15994136'
'505072850626031616','2564221542'
'505072852664844288','1415421686'
'505072878073544704','2569671157'
'505072908830375937','2569671157'
'505072937020321792','2569066158'
'505072967328362496','2569066158'
'505072996008988672','2541965384'
'505073025499144192','2541965384'
'505073043266236416','128641320'
'505073055542960129','2564355379'
'505073060396154883','83042288'
'505073075134922752','953695980'
'505073083632209920','2564355379'
'505073115412430848','2570395783'
'505073141874307072','2570395783'
'505073156512432128','143170703'
'505073158081097728','143170703'
'505073160304066560','143170703'
'505073175734915072','2570846396'
'505073199998984192','2570846396'
'505073235310809089','2564119105'
'505073251135922177','1128946638'
'505073253111857153','953695980'
'505073258408857600','2564119105'
'505073287320174592','591754514'
'505073295012532225','2569905278'
'505073316801937409','2569905278'
'505073336284483585','10951872'
'505073355129511938','2568132836'
'505073375199232000','2568132836'
'505073414839627776','2567974356'
'505073433411993600','2567974356'
'505073443419607040','837964416'
'505073449526915072','1860451831'
'505073474478415872','1284044312'
'505073474931404801','2566471609'
'505073491888967680','2566471609'
'505073492308803584','83042288'
'505073513443901440','309843971'
'505073534368886785','2564404106'
'505073550219153408','2564404106'
'505073594204819456','2568306588'
'505073598638211072','2590185912'
'505073608335450112','2568306588'
'505073625935147008','2499450848'
'505073632981565440','264401966'
'505073653013176320','2570840191'
'505073666795638784','2570840191'
'505073711985094656','2567483076'
'505073718255575040','1949847606'
'505073726358962176','2567483076'
'505073770680180736','2570272886'
'505073785813225472','2570272886'
'505073819464527872','16121049'
'505073821234122752','17268481'
'505073829178134528','2568063866'
'505073845280063488','2568063866'
'505073887739002880','2563769196'
'505073904310710272','2563769196'
'505073945792368641','2562263220'
'505073964012433408','2562263220'
'505074006785929216','2569587127'
'505074021910999040','2731525282'
'505074023328268288','2569587127'
'505074065179037696','2570098896'
'505074082342121472','2570098896'
'505074104698159105','15136150'
'505074125174362112','2570768791'
'505074141657964544','2570768791'
'505074163975852032','969803402'
'505074174399111168','16717031'
'505074184813174784','2565756709'
'505074199816196096','2565756709'
'505074240748806145','861816680'
'505074243915108353','2563489692'
'505074258976858112','2563489692'
'505074267479101440','15370887'
'505074288459010048','124851931'
'505074303436480512','2568658406'
'505074317248299009','2568658406'
'505074363024953344','2563321171'
'505074368662470657','177092753'
'505074376144723968','2563321171'
'505074397380878336','1041946315'
'505074423305474048','2567795538'
'505074428037058560','264401966'
'505074434495885312','2567795538'
'505074483158188032','2566548630'
'505074493107101696','2566548630'
'505074542922850304','2568638460'
'505074551508586496','2568638460'
'505074581733134336','383906888'
'505074602469388288','2570368538'
'505074609993945088','2570368538'
'505074662280146944','2568281322'
'505074669104283648','2568281322'
'505074709755858944','592672441'
'505074722128662529','2563287774'
'505074727744856064','2563287774'
'505074744488501248','2249130367'
'505074779008020480','953695980'
'505074781624877056','2563394749'
'505074785986957312','2563394749'
'505074792098463744','953695980'
'505074841502773249','2569436592'
'505074844723974144','2569436592'
'505074852655804416','733251096'
'505074865687121921','319023494'
'505074900915068928','2570376108'
'505074901917511680','305931268'
'505074902903185408','2570376108'
'505074960302211072','2567966545'
'505074961409515520','2567966545'
'505074972029911040','794407608'
'505074970062757888','2286124076'
'505074978870804480','42867895'
'505075009992130561','1272259386'
'505075019446112256','2569162549'
'505075020276563968','2569162549'
'505075078468362240','2598570470'
'505075078824873984','2627518912'
'505075079449817088','2627518912'
'505075110857175040','41186732'
'505075159246458880','369032276'
'505075301530210304','86120981'
'505075433927622656','171656520'
'505075536272453632','193061543'
'505075703998861312','2699808222'
'505075977954013184','171656520'
'505076136284811264','548399388'
'505076218442821632','363919311'
'505076356020178945','20510533'
'505076384973488131','264401966'
'505076457753026562','2726443128'
'505076574908346368','2359750987'
'505076644613476352','304861372'
'505076667195215872','424940769'
'505076813148987392','107702315'
'505076817732976640','70504716'
'505076820593491968','122309663'
'505076901040652288','789444152'
'505077025506615296','426724144'
'505077032687251457','309843971'
'505077049846149120','2544000422'
'505077055625916416','22356546'
'505077134659158017','2765493956'
'505077142661496833','191942523'
'505077165944492033','34670424'
'505077231593349120','1639485540'
'505077254884700160','61415761'
'505077277215166466','132193270'
'505077293979799552','2449743973'
'505077316020477952','1638703032'
'505077328704069633','17741758'
'505077410111713280','579919498'
'505077439362772992','34670424'
'505077453669564417','250060226'
'505077457436033024','34670424'
'505077462338793474','1417879160'
'505077476272640000','1630940575'
'505077543754801152','2414125807'
'505077570476339201','328810194'
'505077691226533889','183599807'
'505077713921925120','1944079380'
'505077719294803969','34670424'
'505077732553011201','1266567530'
'505077735782645760','34670424'
'505077861712408576','153876973'
'505077950036058112','264886541'
'505077983099367425','112214751'
'505078022286745600','47995486'
'505078085700837376','34670424'
'505078110270664705','62499410'
'505078272817119235','2600988708'
'505078332212670465','2514914696'
'505078335521947648','2506199450'
'505078427934683136','532381129'
'505078432103813120','128679707'
'505078472696274944','813064693'
'505078555383189504','457868515'
'505078569840939008','278168522'
'505078630742253569','278642632'
'505078667521695744','24216744'
'505078692930781184','128679707'
'505078699322920960','1224154813'
'505078715177787392','633696846'
'505078717409136641','1454801708'
'505078738942320640','219421471'
'505078756307124224','633696846'
'505078787805945857','1102194798'
'505078877891219457','813064693'
